timestamp,FN2O_C4_broadcast_side_strip_with_inhibitor
2023-07-10 12:30:00,75.7916
2023-07-10 13:00:00,81.0783
2023-07-10 13:30:00,77.7602
2023-07-10 14:00:00,76.9836
2023-07-10 14:30:00,81.8281
2023-07-10 15:00:00,81.7752
2023-07-10 15:30:00,92.2192
2023-07-10 16:00:00,85.8326
2023-07-10 16:30:00,87.7842
2023-07-10 17:00:00,69.332
2023-07-10 17:30:00,66.9727
2023-07-10 18:00:00,62.1553
2023-07-10 18:30:00,61.0743
2023-07-10 19:00:00,54.6569
2023-07-10 19:30:00,51.3691
2023-07-10 20:00:00,51.181
2023-07-10 20:30:00,48.7476
2023-07-10 21:00:00,50.3541
2023-07-10 21:30:00,49.6436
2023-07-10 22:00:00,46.7697
2023-07-10 22:30:00,50.468
2023-07-10 23:00:00,50.0047
2023-07-10 23:30:00,42.8276
2023-07-11 00:00:00,45.1112
2023-07-11 00:30:00,46.9375
2023-07-11 01:00:00,46.3857
2023-07-11 01:30:00,44.6709
2023-07-11 02:00:00,43.9181
2023-07-11 02:30:00,41.5816
2023-07-11 03:00:00,42.3636
2023-07-11 03:30:00,44.0481
2023-07-11 04:00:00,42.5651
2023-07-11 04:30:00,42.5299
2023-07-11 05:00:00,42.1566
2023-07-11 05:30:00,45.1796
2023-07-11 06:00:00,40.7514
2023-07-11 06:30:00,43.1095
2023-07-11 07:00:00,39.4723
2023-07-11 07:30:00,39.7528
2023-07-11 08:00:00,38.8915
2023-07-11 08:30:00,39.5459
2023-07-11 09:00:00,45.3744
2023-07-11 09:30:00,51.844
2023-07-11 10:00:00,53.9065
2023-07-11 10:30:00,59.2989
2023-07-11 11:00:00,63.26
2023-07-11 11:30:00,60.5851
2023-07-11 12:00:00,62.9395
2023-07-11 12:30:00,2.52299
2023-07-11 13:00:00,25.4312
2023-07-11 13:30:00,40.2952
2023-07-11 14:00:00,54.1704
2023-07-11 14:30:00,61.8246
2023-07-11 15:00:00,57.5882
2023-07-11 15:30:00,51.2342
2023-07-11 16:00:00,42.5177
2023-07-11 16:30:00,39.3595
2023-07-11 17:00:00,41.2709
2023-07-11 17:30:00,36.1605
2023-07-11 18:00:00,38.6653
2023-07-11 18:30:00,39.4068
2023-07-11 19:00:00,36.6107
2023-07-11 19:30:00,42.0721
2023-07-11 20:00:00,40.9341
2023-07-11 20:30:00,38.4331
2023-07-11 21:00:00,6.638
2023-07-11 21:30:00,13.7039
2023-07-11 22:00:00,20.3392
2023-07-11 22:30:00,20.6831
2023-07-11 23:00:00,24.6696
2023-07-11 23:30:00,25.4164
2023-07-12 00:00:00,27.7625
2023-07-12 00:30:00,28.9613
2023-07-12 01:00:00,28.6873
2023-07-12 01:30:00,30.9687
2023-07-12 02:00:00,29.4155
2023-07-12 02:30:00,26.5923
2023-07-12 03:00:00,30.9349
2023-07-12 03:30:00,30.3843
2023-07-12 04:00:00,29.1882
2023-07-12 04:30:00,28.3605
2023-07-12 05:00:00,27.3373
2023-07-12 05:30:00,28.123
2023-07-12 06:00:00,27.9828
2023-07-12 06:30:00,28.9795
2023-07-12 07:00:00,28.3881
2023-07-12 07:30:00,30.6552
2023-07-12 08:00:00,33.1779
2023-07-12 08:30:00,37.2253
2023-07-12 09:00:00,41.2008
2023-07-12 09:30:00,47.6646
2023-07-12 10:00:00,51.7557
2023-07-12 10:30:00,58.6743
2023-07-12 11:00:00,64.0395
2023-07-12 11:30:00,63.5564
2023-07-12 12:00:00,61.7136
2023-07-12 12:30:00,76.9326
2023-07-12 13:00:00,85.5914
2023-07-12 13:30:00,87.0159
2023-07-12 14:00:00,88.7462
2023-07-12 14:30:00,70.5845
2023-07-12 15:00:00,64.5176
2023-07-12 15:30:00,68.6244
2023-07-12 16:00:00,67.3466
2023-07-12 16:30:00,58.4601
2023-07-12 17:00:00,56.3871
2023-07-12 17:30:00,53.3901
2023-07-12 18:00:00,49.1751
2023-07-12 18:30:00,46.6128
2023-07-12 19:00:00,44.591
2023-07-12 19:30:00,44.5993
2023-07-12 20:00:00,45.3466
2023-07-12 20:30:00,45.1505
2023-07-12 21:00:00,40.9103
2023-07-12 21:30:00,37.9101
2023-07-12 22:00:00,38.0386
2023-07-12 22:30:00,35.2922
2023-07-12 23:00:00,36.3368
2023-07-12 23:30:00,35.565
2023-07-13 00:00:00,34.6142
2023-07-13 00:30:00,34.0341
2023-07-13 01:00:00,32.1981
2023-07-13 01:30:00,34.5897
2023-07-13 02:00:00,34.0268
2023-07-13 02:30:00,33.6523
2023-07-13 03:00:00,33.9716
2023-07-13 03:30:00,32.9734
2023-07-13 04:00:00,32.8018
2023-07-13 04:30:00,30.3062
2023-07-13 05:00:00,29.1147
2023-07-13 05:30:00,29.2593
2023-07-13 06:00:00,29.2438
2023-07-13 06:30:00,22.5737
2023-07-13 07:00:00,29.6061
2023-07-13 07:30:00,31.2226
2023-07-13 08:00:00,23.0793
2023-07-13 08:30:00,19.6185
2023-07-13 09:00:00,21.0129
2023-07-13 09:30:00,26.4552
2023-07-13 10:00:00,34.8451
2023-07-13 10:30:00,32.8337
2023-07-13 11:00:00,36.5809
2023-07-13 11:30:00,38.148
2023-07-13 12:00:00,41.7806
2023-07-13 12:30:00,32.9222
2023-07-13 13:00:00,3.1941
2023-07-13 13:30:00,17.8493
2023-07-13 14:00:00,19.8084
2023-07-13 14:30:00,24.1509
2023-07-13 15:00:00,2.5173
2023-07-13 15:30:00,16.636
2023-07-13 16:00:00,11.5633
2023-07-13 16:30:00,15.0268
2023-07-13 17:00:00,17.8062
2023-07-13 17:30:00,21.1322
2023-07-13 18:00:00,24.4045
2023-07-13 18:30:00,25.239
2023-07-13 19:00:00,23.7262
2023-07-13 19:30:00,27.713
2023-07-13 20:00:00,30.952
2023-07-13 20:30:00,28.612
2023-07-13 21:00:00,26.4961
2023-07-13 21:30:00,27.6668
2023-07-13 22:00:00,29.3507
2023-07-13 22:30:00,29.9778
